epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.6321804523468018,0.6862438321113586,0.5543377995491028,0.5955747365951538,0.9274889826774597,0.27548182010650635,0.8463667631149292,0.7372929453849792,0.8197624087333679,0.8831077218055725,9.999515704294808e-05
2,0.25868967175483704,0.853277862071991,0.7508339285850525,0.8261179327964783,0.8957058787345886,0.2122567594051361,0.8776177763938904,0.7862355709075928,0.8591699600219727,0.9039881825447083,9.998062915933898e-05
3,0.2192215472459793,0.8734400272369385,0.7812181115150452,0.8585022687911987,0.898010790348053,0.19619686901569366,0.8843743801116943,0.7974332571029663,0.8526822328567505,0.9255368709564209,9.995641931161129e-05
4,0.2017839252948761,0.881439745426178,0.7941678762435913,0.8691397905349731,0.9023242592811584,0.1844678670167923,0.8883400559425354,0.8039290904998779,0.8966911435127258,0.8866545557975769,9.992253243649143e-05
5,0.19188670814037323,0.886368989944458,0.8020852208137512,0.8760455250740051,0.9045019745826721,0.1760411560535431,0.8943737745285034,0.8136517405509949,0.8719191551208496,0.9242985248565674,9.987897544398704e-05
6,0.1843361258506775,0.8915942311286926,0.8096019625663757,0.8811419606208801,0.9080675840377808,0.16940107941627502,0.8974550366401672,0.818696916103363,0.8836331963539124,0.9177986979484558,9.982575721597784e-05
7,0.1789560317993164,0.8930948376655579,0.8127208352088928,0.8835023641586304,0.9094210863113403,0.16492106020450592,0.8994591236114502,0.8221601843833923,0.9008669257164001,0.9037307500839233,9.976288860440457e-05
8,0.175189808011055,0.896173357963562,0.8171417713165283,0.8864748477935791,0.9114729166030884,0.1666182279586792,0.8976753354072571,0.8192790150642395,0.9126415848731995,0.8888715505599976,9.969038242905613e-05
9,0.17152637243270874,0.8982741832733154,0.8205968141555786,0.8891271352767944,0.912640392780304,0.16247816383838654,0.900589108467102,0.8239786624908447,0.8795968294143677,0.9291345477104187,9.960825347495538e-05
10,0.16873571276664734,0.8993812203407288,0.8227226734161377,0.8902546167373657,0.9140951633453369,0.15965084731578827,0.9024643301963806,0.8273686170578003,0.8922551274299622,0.9187610149383545,9.951651848934431e-05
11,0.16648955643177032,0.9006114602088928,0.8247538208961487,0.8913267850875854,0.9154459238052368,0.1585557907819748,0.9021469354629517,0.8265669345855713,0.9081977605819702,0.9018700122833252,9.941519617826905e-05
12,0.16344551742076874,0.9024898409843445,0.8277634382247925,0.893789529800415,0.9162818789482117,0.15791776776313782,0.9035405516624451,0.8291298747062683,0.8803557753562927,0.9340028166770935,9.930430720276542e-05
13,0.16200415790081024,0.904129147529602,0.8298523426055908,0.8952140212059021,0.9172458052635193,0.15313325822353363,0.9060333371162415,0.8331812024116516,0.8961081504821777,0.9217248558998108,9.91838741746459e-05
14,0.15986084938049316,0.9041680693626404,0.8307003974914551,0.8954291343688965,0.9181393384933472,0.15432889759540558,0.9052754044532776,0.8318979144096375,0.9067779183387756,0.9097410440444946,9.905392165188868e-05
15,0.15796083211898804,0.9062275886535645,0.8334313035011292,0.8975344300270081,0.9189608097076416,0.1538826823234558,0.9054292440414429,0.8323668241500854,0.9032744765281677,0.9134954810142517,9.891447613363008e-05
16,0.15643824636936188,0.9068016409873962,0.834416389465332,0.8982533812522888,0.9195602536201477,0.15312491357326508,0.9064592123031616,0.834000289440155,0.8809798359870911,0.9391561150550842,9.876556605476085e-05
17,0.1544180065393448,0.9081333875656128,0.8365322351455688,0.8992420434951782,0.9207921624183655,0.15235070884227753,0.9062613248825073,0.8338497281074524,0.8927446007728577,0.9261107444763184,9.8607221780128e-05
18,0.1528313308954239,0.9084449410438538,0.8373731374740601,0.8998149633407593,0.9215028882026672,0.15071438252925873,0.9079110026359558,0.8365323543548584,0.8880540728569031,0.9344764351844788,9.843947559834297e-05
19,0.1519470512866974,0.9090473055839539,0.8382294774055481,0.9004566669464111,0.9217990636825562,0.15093056857585907,0.9076915383338928,0.8364143967628479,0.8953320980072021,0.9258752465248108,9.82623617151975e-05
20,0.1494702845811844,0.9109315872192383,0.8409775495529175,0.9022515416145325,0.9232803583145142,0.15136010944843292,0.907061755657196,0.8353003263473511,0.8982647061347961,0.9218613505363464,9.807591624668863e-05
21,0.14851893484592438,0.9112120866775513,0.8414437174797058,0.9024524092674255,0.9239792227745056,0.14864103496074677,0.9089165925979614,0.838571310043335,0.9060572981834412,0.9171526432037354,9.788017721165409e-05
22,0.14686912298202515,0.9126359224319458,0.843325674533844,0.9040234088897705,0.9242745637893677,0.15026159584522247,0.9074239730834961,0.8359851837158203,0.8932619690895081,0.9279140830039978,9.767518452401979e-05
23,0.14581242203712463,0.9126520752906799,0.8438088297843933,0.9036171436309814,0.9255451560020447,0.15270929038524628,0.9066001176834106,0.8347762823104858,0.8884564638137817,0.9313769340515137,9.746097998466075e-05
24,0.1446751356124878,0.9134164452552795,0.8448449373245239,0.9050947427749634,0.9252268075942993,0.14776436984539032,0.9093791246414185,0.8393763303756714,0.8951929211616516,0.9296823740005493,9.723760727287741e-05
25,0.1429506242275238,0.9143903255462646,0.8465166687965393,0.9054181575775146,0.9269718527793884,0.14989407360553741,0.9083297252655029,0.8378235697746277,0.8917382955551147,0.9313102960586548,9.700511193748868e-05
26,0.1419522762298584,0.9145417213439941,0.8468826413154602,0.9060468673706055,0.9269464612007141,0.15027213096618652,0.9082838892936707,0.8379949927330017,0.9043707251548767,0.9178656935691833,9.676354138754399e-05
27,0.142222598195076,0.9147754311561584,0.847285270690918,0.906192421913147,0.9268575310707092,0.15230029821395874,0.9057785868644714,0.833945631980896,0.9165123105049133,0.9009943604469299,9.651294488265588e-05
28,0.14057616889476776,0.9158806204795837,0.8488583564758301,0.9071289300918579,0.9279446005821228,0.14810243248939514,0.9098204374313354,0.8403451442718506,0.8977174758911133,0.9279694557189941,9.625337352295538e-05
29,0.13957566022872925,0.9159536957740784,0.8492087125778198,0.9071326851844788,0.9285569190979004,0.15391187369823456,0.9058607816696167,0.8339359760284424,0.9081281423568726,0.9095011949539185,9.598488023867178e-05
30,0.1389833688735962,0.9163439869880676,0.8497288823127747,0.9076455235481262,0.9285151362419128,0.150560662150383,0.9080822467803955,0.8372251987457275,0.8884948492050171,0.9341895580291748,9.570751977933962e-05
