epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,1.0462608337402344,0.718915581703186,0.585077702999115,0.6047201156616211,0.9587002992630005,0.9499358534812927,0.8259006142616272,0.7093690037727356,0.730076789855957,0.9636144638061523,7.999612563435848e-05
2,0.9374703168869019,0.8355874419212341,0.7277692556381226,0.7594906687736511,0.9496800303459167,0.887932538986206,0.870915949344635,0.7777432799339294,0.8221556544303894,0.9369304180145264,7.99845033274712e-05
3,0.8739518523216248,0.8600279092788696,0.7643760442733765,0.8020092248916626,0.9440546631813049,0.8337382078170776,0.8824076056480408,0.7959177494049072,0.8550933003425598,0.919221043586731,7.996513544928904e-05
4,0.8065486550331116,0.8750127553939819,0.7869057655334473,0.829377293586731,0.9394450187683105,0.751920223236084,0.891260027885437,0.8108782172203064,0.8587563037872314,0.9344898462295532,7.993802594919316e-05
5,0.7422590255737305,0.8825598955154419,0.7988176345825195,0.8446788191795349,0.936572253704071,0.6782718896865845,0.8981451392173767,0.8206639289855957,0.8696818351745605,0.9349545836448669,7.990318035518964e-05
6,0.678370475769043,0.8883491158485413,0.8077956438064575,0.8554989695549011,0.9350932836532593,0.6289252638816833,0.8936811685562134,0.8133659958839417,0.8440974354743958,0.9562075734138489,7.986060577278229e-05
7,0.6160498261451721,0.8926664590835571,0.814392626285553,0.8638818264007568,0.9336017966270447,0.5775142908096313,0.8989579081535339,0.8223215341567993,0.8643064498901367,0.9435092806816101,7.981031088352369e-05
8,0.5584842562675476,0.8969399333000183,0.8204982876777649,0.8717138767242432,0.9320477247238159,0.5019001364707947,0.9059984087944031,0.8337291479110718,0.8860000967979431,0.9329758286476135,7.975230594324493e-05
9,0.5063666105270386,0.8989488482475281,0.8240919709205627,0.8769571185112,0.9304949045181274,0.4669140875339508,0.9046704769134521,0.8313207626342773,0.8776439428329468,0.9396919012069702,7.968660277996433e-05
10,0.46129363775253296,0.9005768895149231,0.8268539905548096,0.8812505602836609,0.9288313388824463,0.4244314432144165,0.9061729311943054,0.8339881300926208,0.8801425695419312,0.9401436448097229,7.961321479147547e-05
11,0.42279064655303955,0.9034035801887512,0.8309486508369446,0.8864961862564087,0.9280731678009033,0.3941226899623871,0.9096071124076843,0.8398699164390564,0.8985764980316162,0.9274625182151794,7.953215694261526e-05
12,0.3886549174785614,0.903709352016449,0.832087516784668,0.8873492479324341,0.9285206198692322,0.36656275391578674,0.9031936526298523,0.8302436470985413,0.871511697769165,0.9466252326965332,7.944344576221236e-05
13,0.3635646104812622,0.9049466848373413,0.833647608757019,0.8906187415122986,0.9267932176589966,0.33423855900764465,0.9108424186706543,0.8418821692466736,0.8884385824203491,0.9402694702148438,7.934709933971673e-05
14,0.3416225016117096,0.9053891897201538,0.8350560665130615,0.892410397529602,0.9266632199287415,0.3238435983657837,0.9113308191299438,0.8427825570106506,0.8923500776290894,0.9371464252471924,7.924313732151097e-05
15,0.32535919547080994,0.9069551825523376,0.8372044563293457,0.8949955105781555,0.9264363050460815,0.3092421889305115,0.911568820476532,0.8430961966514587,0.9114456176757812,0.9180964231491089,7.91315809069041e-05
