epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.7466057538986206,0.697129487991333,0.5556273460388184,0.5740581154823303,0.9465969800949097,0.6345290541648865,0.8026224374771118,0.6770331859588623,0.7033734321594238,0.9521680474281311,9.999515704294808e-05
2,0.6259851455688477,0.801873505115509,0.6796562075614929,0.7039646506309509,0.9561766386032104,0.5828381776809692,0.8330023884773254,0.7200382947921753,0.7436949610710144,0.9603350758552551,9.998062915933898e-05
3,0.5737157464027405,0.8280041813850403,0.7162613868713379,0.7431408166885376,0.9553324580192566,0.5356680154800415,0.8465911746025085,0.7393319010734558,0.7619307041168213,0.9629403948783875,9.995641931161129e-05
4,0.5274174809455872,0.8461041450500488,0.7424130439758301,0.7726806402206421,0.9524489641189575,0.5034748911857605,0.8476932048797607,0.7411425709724426,0.7603404521942139,0.9682331085205078,9.992253243649143e-05
5,0.4866279065608978,0.8576957583427429,0.7596706748008728,0.7932567000389099,0.949445903301239,0.4624865651130676,0.8610479235649109,0.7611722946166992,0.7831807732582092,0.96560138463974,9.987897544398704e-05
6,0.4482938051223755,0.8667834997177124,0.7735721468925476,0.8103744983673096,0.9464160799980164,0.41836878657341003,0.877942681312561,0.7874593138694763,0.8181787729263306,0.9555718898773193,9.982575721597784e-05
7,0.4130689203739166,0.874653160572052,0.7850943207740784,0.8256229162216187,0.9428280591964722,0.3834870159626007,0.8867304921150208,0.8013424277305603,0.8430702090263367,0.9426268935203552,9.976288860440457e-05
8,0.38207003474235535,0.8786813020706177,0.7922237515449524,0.8356331586837769,0.9398016333580017,0.3495206832885742,0.8935769200325012,0.8126112818717957,0.8586688041687012,0.9385048747062683,9.969038242905613e-05
9,0.35406234860420227,0.8841263651847839,0.8004000186920166,0.8465507626533508,0.9370803236961365,0.3381664454936981,0.8887091279029846,0.8044850826263428,0.8390818238258362,0.9520779848098755,9.960825347495538e-05
10,0.32856830954551697,0.8873685598373413,0.8058022856712341,0.854483962059021,0.9346022605895996,0.2993462085723877,0.8981541991233826,0.8200085163116455,0.8706094026565552,0.9342652559280396,9.951651848934431e-05
11,0.3073992133140564,0.8895114064216614,0.8091081380844116,0.8611856698989868,0.9309726357460022,0.2823805809020996,0.9014780521392822,0.8256424069404602,0.8802347183227539,0.9307039380073547,9.941519617826905e-05
12,0.28781893849372864,0.8932102918624878,0.8145981431007385,0.8680828809738159,0.9296995997428894,0.2659575939178467,0.8997802734375,0.8228805065155029,0.8705123066902161,0.938505232334137,9.930430720276542e-05
13,0.27105456590652466,0.8944013118743896,0.8169500231742859,0.8725823163986206,0.9276315569877625,0.2591296136379242,0.9024698138237,0.8272809982299805,0.8761399984359741,0.9369287490844727,9.91838741746459e-05
14,0.25717321038246155,0.8960725665092468,0.8193347454071045,0.8766462802886963,0.9260382652282715,0.23099496960639954,0.9044666886329651,0.8307123780250549,0.895477294921875,0.920135498046875,9.905392165188868e-05
15,0.24443893134593964,0.8980210423469543,0.8223549127578735,0.8806701898574829,0.9250598549842834,0.23553578555583954,0.9030875563621521,0.8283739686012268,0.8741589188575745,0.9404334425926208,9.891447613363008e-05
16,0.2332945019006729,0.8992998003959656,0.8244367241859436,0.8835712671279907,0.9244173169136047,0.21962574124336243,0.9029370546340942,0.8281395435333252,0.8729864358901978,0.9415454864501953,9.876556605476085e-05
17,0.22381548583507538,0.9009518623352051,0.8266916275024414,0.8867914080619812,0.9235230088233948,0.21149086952209473,0.9068200588226318,0.8347532153129578,0.8983352780342102,0.9213332533836365,9.8607221780128e-05
18,0.2159898430109024,0.9019143581390381,0.8281670808792114,0.8890292644500732,0.922761857509613,0.19900500774383545,0.9074596166610718,0.8358123898506165,0.8987434506416321,0.9224371910095215,9.843947559834297e-05
19,0.20958226919174194,0.9018714427947998,0.8283367156982422,0.8901054859161377,0.9217771887779236,0.19602066278457642,0.9080271124839783,0.8369878530502319,0.896946370601654,0.925771176815033,9.82623617151975e-05
