epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.711327850818634,0.6357158422470093,0.50469571352005,0.5656642913818359,0.7863840460777283,0.4674960970878601,0.832738995552063,0.7194926738739014,0.7827163338661194,0.9053152799606323,9.999515704294808e-05
2,0.4343379735946655,0.8372440934181213,0.7289296388626099,0.7912819385528564,0.9084466695785522,0.3783941864967346,0.8575855493545532,0.75627601146698,0.803428590297699,0.9317374229431152,9.998062915933898e-05
3,0.36808228492736816,0.8604309558868408,0.7630723714828491,0.8279139399528503,0.9110714197158813,0.32884618639945984,0.8775122165679932,0.7876192331314087,0.8658316135406494,0.9001947641372681,9.995641931161129e-05
4,0.3264258801937103,0.8720439672470093,0.7804794907569885,0.8472142219543457,0.911386251449585,0.2996852695941925,0.8773938417434692,0.7867889404296875,0.831296443939209,0.9386206269264221,9.992253243649143e-05
5,0.2954077124595642,0.8777375221252441,0.7895981073379517,0.8573857545852661,0.9113304018974304,0.264445424079895,0.8867385387420654,0.8024052977561951,0.8659226894378662,0.9185910820960999,9.987897544398704e-05
6,0.27252793312072754,0.8827425241470337,0.7970789074897766,0.8649251461029053,0.9119127988815308,0.2497650682926178,0.8877156376838684,0.8043832778930664,0.8579413890838623,0.9299461841583252,9.982575721597784e-05
7,0.25455114245414734,0.884147047996521,0.8000219464302063,0.868781566619873,0.9118512272834778,0.2322051227092743,0.8907977342605591,0.8092778325080872,0.8818432688713074,0.9099542498588562,9.976288860440457e-05
8,0.2397077977657318,0.8876703977584839,0.8053240180015564,0.8740948438644409,0.9123702049255371,0.2171739786863327,0.8948796987533569,0.8151843547821045,0.9041882157325745,0.893751323223114,9.969038242905613e-05
9,0.2277916818857193,0.8901954293251038,0.8090913891792297,0.8776941299438477,0.9127718210220337,0.2095670849084854,0.8973215818405151,0.8192605972290039,0.8831276893615723,0.9204719662666321,9.960825347495538e-05
10,0.2180074155330658,0.8920667767524719,0.811912477016449,0.8802161812782288,0.913256049156189,0.19886060059070587,0.8982962965965271,0.821138322353363,0.8865498304367065,0.9190709590911865,9.951651848934431e-05
