epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.8372641801834106,0.6608037948608398,0.5131686329841614,0.5264214873313904,0.9573436379432678,0.7231723666191101,0.7591016888618469,0.6188425421714783,0.6287285089492798,0.9766433835029602,9.999515704294808e-05
2,0.7044398188591003,0.774265706539154,0.6406133770942688,0.6567717790603638,0.9676819443702698,0.6558743715286255,0.7916816473007202,0.6608273386955261,0.6711588501930237,0.9788846969604492,9.998062915933898e-05
3,0.6589989066123962,0.7908811569213867,0.6626652479171753,0.6771579384803772,0.9717311859130859,0.6211934685707092,0.8023448586463928,0.6751166582107544,0.6843739151954651,0.9810410141944885,9.995641931161129e-05
4,0.6232447028160095,0.8035246729850769,0.6799277067184448,0.6942988038063049,0.9728813171386719,0.5968210697174072,0.8048776388168335,0.6788098216056824,0.6864449977874756,0.9846842288970947,9.992253243649143e-05
5,0.592447817325592,0.8168233633041382,0.6987922787666321,0.7142513394355774,0.9721297025680542,0.5682420134544373,0.8251461386680603,0.70810467004776,0.7198215126991272,0.9784873127937317,9.987897544398704e-05
6,0.5635111331939697,0.8303011655807495,0.7184997200965881,0.735802173614502,0.9702732563018799,0.537270724773407,0.8351678252220154,0.7226139903068542,0.7344412803649902,0.9795410633087158,9.982575721597784e-05
7,0.5372353792190552,0.8425508737564087,0.7366756796836853,0.7569156289100647,0.9669190645217896,0.5085144639015198,0.8513669371604919,0.7462953925132751,0.7652369737625122,0.9685571789741516,9.976288860440457e-05
8,0.5115365982055664,0.8533709645271301,0.7533381581306458,0.7762689590454102,0.9641720652580261,0.4817091226577759,0.88075852394104,0.7920831441879272,0.825869619846344,0.9512023329734802,9.969038242905613e-05
9,0.48729604482650757,0.8641312718391418,0.7697566151618958,0.7959631681442261,0.9601091742515564,0.47755831480026245,0.8566766381263733,0.7557839155197144,0.7722108364105225,0.9736563563346863,9.960825347495538e-05
10,0.4638465344905853,0.8736779689788818,0.7847298979759216,0.8151206970214844,0.9551864862442017,0.4392460286617279,0.8906039595603943,0.8079618811607361,0.8468535542488098,0.9459168910980225,9.951651848934431e-05
11,0.4409562349319458,0.8810426592826843,0.7958018779754639,0.8315677046775818,0.9490492939949036,0.4142955243587494,0.8939653635025024,0.813412606716156,0.8553273677825928,0.9438395500183105,9.941519617826905e-05
12,0.41996628046035767,0.8843497037887573,0.8014320731163025,0.8391294479370117,0.9467633366584778,0.3924272954463959,0.8960965871810913,0.8172791600227356,0.8580080270767212,0.9453073740005493,9.930430720276542e-05
13,0.399499773979187,0.8876839876174927,0.8068584203720093,0.8463485240936279,0.9447605013847351,0.3764318823814392,0.8994443416595459,0.8222730159759521,0.8644964694976807,0.9438176155090332,9.91838741746459e-05
14,0.380868136882782,0.8899015784263611,0.8102704882621765,0.8512515425682068,0.9436106085777283,0.36527523398399353,0.8974145650863647,0.8197124004364014,0.8636417388916016,0.9414693713188171,9.905392165188868e-05
15,0.36304572224617004,0.8925979137420654,0.8143866062164307,0.8569890856742859,0.9419655203819275,0.342705100774765,0.8981730937957764,0.8202711343765259,0.8558977246284485,0.9513452649116516,9.891447613363008e-05
16,0.3461853563785553,0.8946208357810974,0.8176489472389221,0.8614714741706848,0.9410857558250427,0.33057379722595215,0.8977657556533813,0.8200597167015076,0.8557544946670532,0.9510018229484558,9.876556605476085e-05
17,0.3303597569465637,0.8962998986244202,0.8203338980674744,0.8655380606651306,0.9393371939659119,0.3091669976711273,0.9044121503829956,0.8308721780776978,0.888344407081604,0.9275097846984863,9.8607221780128e-05
18,0.3148862421512604,0.8972182869911194,0.822456955909729,0.8685067296028137,0.9385039210319519,0.2994185984134674,0.9033226370811462,0.8296874165534973,0.8779314756393433,0.9375318884849548,9.843947559834297e-05
19,0.30245694518089294,0.8987674713134766,0.8243151307106018,0.8725189566612244,0.936373770236969,0.2861338257789612,0.9063385128974915,0.83409583568573,0.8864182233810425,0.9331261515617371,9.82623617151975e-05
20,0.2890254855155945,0.9009390473365784,0.8276412487030029,0.8757335543632507,0.9364014267921448,0.2729980945587158,0.9071462154388428,0.8353350758552551,0.8935331702232361,0.9272774457931519,9.807591624668863e-05
21,0.2777467966079712,0.9013010263442993,0.828410267829895,0.8774350881576538,0.9358408451080322,0.2642950415611267,0.9035947918891907,0.8296808004379272,0.8730349540710449,0.9428646564483643,9.788017721165409e-05
22,0.26642829179763794,0.9033586382865906,0.8310369253158569,0.8805452585220337,0.9356606006622314,0.25311213731765747,0.9052689075469971,0.8323917388916016,0.8787016868591309,0.9401506185531616,9.767518452401979e-05
23,0.25633543729782104,0.9054745435714722,0.8338569402694702,0.8832798600196838,0.9359363913536072,0.2457662969827652,0.9086272120475769,0.8384025692939758,0.8954855799674988,0.9281914234161377,9.746097998466075e-05
24,0.24739710986614227,0.9054614305496216,0.8342423439025879,0.8850193023681641,0.9345489144325256,0.23085950314998627,0.9077021479606628,0.8361367583274841,0.8885397911071777,0.9337401986122131,9.723760727287741e-05
25,0.23833903670310974,0.9069561958312988,0.8363884091377258,0.8872569799423218,0.9347461462020874,0.22199620306491852,0.9107968211174011,0.8416695594787598,0.9007528424263,0.9264612793922424,9.700511193748868e-05
26,0.23121513426303864,0.9074819684028625,0.8372983932495117,0.8892276287078857,0.9335733652114868,0.22188983857631683,0.9088401198387146,0.8385506868362427,0.8871278762817383,0.937813937664032,9.676354138754399e-05
27,0.2241710126399994,0.9078412652015686,0.8379884362220764,0.8898123502731323,0.9334644675254822,0.21384069323539734,0.9104015827178955,0.8410370945930481,0.9104835391044617,0.9159164428710938,9.651294488265588e-05
28,0.21806201338768005,0.9088900685310364,0.8393324613571167,0.892475962638855,0.9322457313537598,0.21420127153396606,0.9106196165084839,0.8416677117347717,0.8993306756019592,0.9281407594680786,9.625337352295538e-05
29,0.2116270810365677,0.9092026352882385,0.8399959802627563,0.8933305144309998,0.932660698890686,0.20157165825366974,0.9108794331550598,0.8421183228492737,0.9064946174621582,0.9212926030158997,9.598488023867178e-05
30,0.20771941542625427,0.9093203544616699,0.8400558829307556,0.8939898014068604,0.9314920902252197,0.20123742520809174,0.9063680171966553,0.834638774394989,0.8780896067619324,0.9433373808860779,9.570751977933962e-05
31,0.20211286842823029,0.9107772707939148,0.8421371579170227,0.8961570262908936,0.9315807819366455,0.19227753579616547,0.9096121788024902,0.8411644101142883,0.9032158255577087,0.9244135022163391,9.542134870263433e-05
32,0.1966254562139511,0.9105026125907898,0.842384934425354,0.8968870639801025,0.9312790036201477,0.1852879673242569,0.9118860363960266,0.8437234163284302,0.9042409658432007,0.9251335859298706,9.51264253628395e-05
33,0.19158224761486053,0.9114416837692261,0.8439059853553772,0.8977558612823486,0.9323792457580566,0.18571354448795319,0.9119325280189514,0.8436338901519775,0.9052090048789978,0.9245783090591431,9.482280989894745e-05
34,0.1864359974861145,0.9123446941375732,0.8453012704849243,0.8989271521568298,0.932816207408905,0.18294307589530945,0.910110354423523,0.8421659469604492,0.9081360101699829,0.9191794991493225,9.451056422239616e-05
35,0.18291454017162323,0.9129873514175415,0.8463490009307861,0.9003804326057434,0.9323411583900452,0.17849202454090118,0.9121996164321899,0.8442493677139282,0.902442216873169,0.9276413917541504,9.418975200444463e-05
36,0.17955608665943146,0.9144070148468018,0.847784698009491,0.9020876884460449,0.9321821928024292,0.1795431673526764,0.9097536206245422,0.8411386609077454,0.9067513942718506,0.9194029569625854,9.38604386631894e-05
37,0.17606228590011597,0.9140809774398804,0.8477244973182678,0.9023298621177673,0.9321562051773071,0.1756388545036316,0.910953164100647,0.8423119187355042,0.8945104479789734,0.9339447617530823,9.352269135022494e-05
38,0.17263996601104736,0.9144788384437561,0.8486520051956177,0.9030488729476929,0.9324170351028442,0.17579177021980286,0.907027006149292,0.8361176252365112,0.8764652013778687,0.9464329481124878,9.317657893695047e-05
39,0.1694190353155136,0.9158487915992737,0.8503723740577698,0.9046339988708496,0.9326704740524292,0.16953237354755402,0.9123761653900146,0.8447020649909973,0.9004713892936707,0.9305419325828552,9.282217200052606e-05
40,0.16751748323440552,0.9164754152297974,0.8509343266487122,0.9052990674972534,0.9325309991836548,0.16793465614318848,0.9120612740516663,0.8443053960800171,0.9069952368736267,0.9231864213943481,9.24595428094811e-05
41,0.16561788320541382,0.9166533946990967,0.8512862920761108,0.9059392809867859,0.9322561025619507,0.1673498898744583,0.9107624292373657,0.8427536487579346,0.9129164218902588,0.9156246185302734,9.208876530897757e-05
42,0.16188417375087738,0.9169228076934814,0.8522369861602783,0.9060924053192139,0.9332612156867981,0.1664612740278244,0.9125348329544067,0.8456140756607056,0.9000306725502014,0.931432843208313,9.170991510573175e-05
43,0.16115447878837585,0.9163526296615601,0.8514034748077393,0.9065343141555786,0.9317866563796997,0.16269025206565857,0.9115146994590759,0.8441611528396606,0.9152427911758423,0.9140729308128357,9.132306945259682e-05
